year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1924	0	1	1	0.010869565	1	0.010869565	24	0.260869565
1940	0	1	1	0.013157895	1	0.013157895	17	0.223684211
1953	0	1	1	0.015873016	1	0.015873016	18	0.285714286
1960	0	1	1	0.017857143	1	0.017857143	26	0.464285714
1965	0	1	3	0.058823529	3	0.058823529	32	0.62745098
1970	0	1	1	0.02173913	1	0.02173913	600	13.04347826
1972	0	1	1	0.022727273	1	0.022727273	107	2.431818182
1973	0	1	1	0.023255814	1	0.023255814	6	0.139534884
1975	0	3	5	0.12195122	5	0.12195122	70	1.707317073
1977	0	1	1	0.025641026	1	0.025641026	6	0.153846154
1978	0	1	1	0.026315789	1	0.026315789	43	1.131578947
1979	0	2	3	0.081081081	3	0.081081081	361	9.756756757
1980	0	5	7	0.194444444	7	0.194444444	300	8.333333333
1981	0	4	6	0.171428571	6	0.171428571	273	7.8
1982	0	2	2	0.058823529	2	0.058823529	713	20.97058824
1983	0	5	5	0.151515152	5	0.151515152	141	4.272727273
1984	0	6	8	0.25	8	0.25	2599	81.21875
1985	0	6	24	0.774193548	24	0.774193548	896	28.90322581
1986	0	7	7	0.233333333	7	0.233333333	305	10.16666667
1987	0	6	13	0.448275862	13	0.448275862	2269	78.24137931
1988	0	15	27	0.964285714	27	0.964285714	1822	65.07142857
1989	0	18	32	1.185185185	32	1.185185185	1281	47.44444444
1990	0	52	123	4.730769231	123	4.730769231	4019	154.5769231
1991	0	362	918	36.72	918	36.72	31044	1241.76
1992	0	407	898	37.41666667	898	37.41666667	35973	1498.875
1993	1	520	1280	2	1280	55.65217391	43735	1901.521739
1994	1	476	1041	47.31818182	1041	47.31818182	33363	1516.5
1995	0	446	1110	52.85714286	1110	52.85714286	28526	1358.380952
1996	0	477	976	48.8	976	48.8	31546	1577.3
1997	0	428	844	44.42105263	844	44.42105263	23585	1241.315789
1998	2	414	828	46	828	46	27298	1516.555556
1999	1	362	679	39.94117647	679	39.94117647	16514	971.4117647
2000	3	340	589	36.8125	589	36.8125	15260	953.75
2001	2	250	411	27.4	411	27.4	9214	614.2666667
2002	1	165	194	13.85714286	194	13.85714286	2811	200.7857143
2003	1	137	121	9.307692308	121	9.307692308	1960	150.7692308
2004	2	76	33	2.75	33	2.75	339	28.25
2005	4	113	14	1.272727273	14	1.272727273	91	8.272727273
